Event,Death Toll,,,,,
1931 China floods,4000000,,,,,
1887 Yellow River flood,2000000,,,,,
1556 Shaanxi earthquake,830000,,,,,
1976 Tangshan earthquake,655000,,,,,
1970 Bhola cyclone,500000,,,,,
2010 Haiti earthquake,316000,,,,,
526 Antioch earthquake,300000,,,,,
1881 Haiphong typhoon,300000,,,,,
1920 Haiyuan earthquake,273400,,,,,
Typhoon Nina,229000,,,,,
Great Chinese Famine,29000000,,,,,
Chinese Famine of 1907,25000000,,,,,
Northern Chinese Famine of 1876–1879,11000000,,,,,
Chalisa famine,11000000,,,,,
Doji bara famine or Skull famine,11000000,,,,,
Tuberculosis,1000000000,,,,,
Smallpox,300000000,,,,,
Measles,200000000,,,,,
Black Death,100000000,,,,,
Malaria,115000000,,,,,
